彖	乛豕 vu
祂	礻也 py
羴	羊羊 yy
跩	𧾷曳 zy
雫	雨下 yx
㞎	尸巴 sb
係	亻小 rc
兲	王八 wz
冇	𠂇冂 un
叒	又又 ii
嫐	女女 nn
屄	尸八 sz
屌	尸巾 sj
揾	扌皿 fm
烓	火土 lt
粄	米又 hi
肏	入人 rr
膖	月辶 lz
芶	艹厶 cs
菓	艹果 cg
靘	龶巴 fb
骭	骨干 gt
麤	广匕 bb
鿔	钅口 jk
㗎	口木 km
塃	土乛 tv
塈	既土 gt
塮	土寸 tc
朘	月夂 lw
湨	氵犬 dq
矽	石夕 ux
礳	石石 uu
耲	耒𧘇 lf
蹓	𧾷田 zt
叡	丨又 si
舺	舟甲 vj
甽	田川 ti
濛	氵豕 du
硃	石朱 uv
濬	氵目 dg
霑	雨口 yk
瓌	王𧘇 wf
苝	艹匕 cb
砯	石水 uu
矇	目豕 gu
跴	𧾷西 zx
鞌	宀革 bg
殽	乂又 xi
氹	乛水 vu
磘	石缶 uf
塂	土巳 ts
墺	土大 td
峬	山甫 nf
垝	土乛 tv
晻	日电 pd
盝	彐皿 nm
栿	木犬 mq
槏	木乀 my
栔	丰木 fm
睒	目火 gl
疕	疒匕 bb
瞏	罒𧘇 sf
㽲	疒乛 bv
獛	犭夫 qf
蚚	虫斤 ii
箣	𥫗刂 vd
蒾	艹辶 cz
菵	艹亡 cw
檨	木人 mr
躄	尸人 sr
荵	艹心 cx
蚖	虫儿 iq
茖	艹口 ck
苨	艹匕 cb
脷	月刂 ld
榼	木皿 mm
蘵	艹日 cp
橿	木一 mh
槾	木又 mi
椇	木八 mz
檵	木乛 mv
㹴	犭更 qg
獚	犭八 qz
蠵	虫口 ik
鞞	革十 gu
隞	阝攵 qw
沬	氵未 dw
㖵	口八 kz
㤭	忄丨 xs
滀	氵田 dt
𥁐	厶皿 sm
篗	𥫗又 vi
彍	弓八 gz
僜	亻一 rh
铓	钅亡 jw
掤	扌月 fl
挒	扌刂 fd
㗰	口人 kr
伬	亻尺 ri
睺	目矢 gu
佉	亻厶 rs
禫	礻十 pu
糬	米日 hp
喼	口心 kx
鲓	鱼乛 gv
砳	石石 uu
㞞	尸人 sr
䀇	十皿 um
㨃	扌子 fz
搲	扌瓜 fg
㩟	扌朩 fm
𤆵	火巴 lb
唦	口少 ku
𠲎	口戈 kg
鈤	金日 jp
囸	囗正 wv
桜	木女 mn
礽	礻乃 pn
坲	土弗 tf
椮	木丿 mp
潶	氵黑 dh
奻	女女 nn
𰻝	辶心 zx
咗	口工 kg
骯	骨几 gj
畑	火田 lt
〇	一一 hh
葐	艹皿 cm
囜	囗厶 ws
蝚	虫木 im
